"m_sp"	"m_sf"	"sf_treatment"	"treatment"	"time"	"subsample"	"replicate"	"APN"	"DPP4"	"NEP"	"tot_sperm"	"HA"	"VCL"	"LIN"	"ALH"	"n_dead_sperm"	"tot_sperm_viab"	"number_motile_cells_int"
"9"	"8"	"foreign"	"SF"	"90"	"b"	"2"	2.38	6.46	1.2	118	0	71.4	35	0.6	1157	4308	31
"9"	"8"	"foreign"	"SF"	"90"	"b"	"1"	2.38	6.46	1.2	86	0	73.4	38.7	1.1	1133	4239	31
"3"	"8"	"foreign"	"SF"	"30"	"b"	"2"	2.38	6.46	1.2	112	0	44.5	39.1	0.4	NA	NA	23
"3"	"8"	"foreign"	"SF"	"30"	"b"	"1"	2.38	6.46	1.2	141	0	49.2	45.8	0.8	NA	NA	32
"3"	"8"	"foreign"	"SF"	"90"	"b"	"2"	2.38	6.46	1.2	116	0	39.7	35.4	0	1231	4990	22
"3"	"8"	"foreign"	"SF"	"90"	"b"	"1"	2.38	6.46	1.2	114	0	59.8	30.8	0	1102	4866	19
"4"	"8"	"foreign"	"SF"	"30"	"b"	"2"	2.38	6.46	1.2	130	0	70.3	44.4	1.1	NA	NA	67
"4"	"8"	"foreign"	"SF"	"30"	"b"	"1"	2.38	6.46	1.2	147	0	77	43.7	1.1	NA	NA	71
"4"	"8"	"foreign"	"SF"	"90"	"b"	"2"	2.38	6.46	1.2	99	0	66.2	33.8	0.8	1159	4381	41
"4"	"8"	"foreign"	"SF"	"90"	"b"	"1"	2.38	6.46	1.2	165	0	67.7	41.4	1	1087	4297	55
"2"	"8"	"foreign"	"SF"	"30"	"b"	"1"	2.38	6.46	1.2	96	0	65.2	33.4	0	NA	NA	24
"2"	"8"	"foreign"	"SF"	"30"	"b"	"2"	2.38	6.46	1.2	155	1	72.7	35.2	0.2	NA	NA	31
"2"	"8"	"foreign"	"SF"	"90"	"b"	"1"	2.38	6.46	1.2	132	0	63	33.5	0	1172	3874	22
"2"	"8"	"foreign"	"SF"	"90"	"b"	"2"	2.38	6.46	1.2	118	0	73.2	31.5	0	1389	4390	27
"5"	"7"	"foreign"	"SF"	"30"	"b"	"2"	9.19	12	2.99	135	2	84.3	48	1.4	NA	NA	57
"5"	"7"	"foreign"	"SF"	"30"	"b"	"1"	9.19	12	2.99	148	4	98.5	55.1	1.3	NA	NA	72
"5"	"7"	"foreign"	"SF"	"90"	"b"	"2"	9.19	12	2.99	105	0	74.3	39	0.9	658	3064	28
"5"	"7"	"foreign"	"SF"	"90"	"b"	"1"	9.19	12	2.99	157	0	81.8	39.2	0.5	623	2906	54
"6"	"7"	"foreign"	"SF"	"30"	"b"	"2"	9.19	12	2.99	149	0	92.1	39.9	1.5	NA	NA	51
"6"	"7"	"foreign"	"SF"	"30"	"b"	"1"	9.19	12	2.99	128	1	92.2	34	0.4	NA	NA	49
"6"	"7"	"foreign"	"SF"	"90"	"b"	"1"	9.19	12	2.99	99	0	74.9	36.4	0.5	883	4021	28
"6"	"7"	"foreign"	"SF"	"90"	"b"	"2"	9.19	12	2.99	115	0	80	35.6	0.5	904	3966	38
"7"	"7"	"own"	"SF"	"30"	"b"	"2"	9.19	12	2.99	82	1	81.1	39.2	0.6	NA	NA	29
"7"	"7"	"own"	"SF"	"30"	"b"	"1"	9.19	12	2.99	164	1	81.2	38	0.3	NA	NA	44
"7"	"7"	"own"	"SF"	"90"	"b"	"2"	9.19	12	2.99	139	0	52.4	32.7	0.5	966	3335	29
"7"	"7"	"own"	"SF"	"90"	"b"	"1"	9.19	12	2.99	114	0	59.7	34.6	0	1019	3395	23
"1"	"7"	"foreign"	"SF"	"30"	"b"	"2"	9.19	12	2.99	86	0	84.3	49.5	1.2	NA	NA	42
"1"	"7"	"foreign"	"SF"	"30"	"b"	"1"	9.19	12	2.99	155	1	84.6	52.1	1.1	NA	NA	89
"1"	"7"	"foreign"	"SF"	"90"	"b"	"2"	9.19	12	2.99	138	0	60.7	41.1	1.1	698	2913	44
"1"	"7"	"foreign"	"SF"	"90"	"b"	"1"	9.19	12	2.99	132	0	66.5	44.3	0.9	587	2715	51
"8"	"7"	"foreign"	"SF"	"30"	"b"	"1"	9.19	12	2.99	106	0	67.4	35.5	0	NA	NA	23
"8"	"7"	"foreign"	"SF"	"30"	"b"	"2"	9.19	12	2.99	121	3	87.9	40.3	1.8	NA	NA	40
"8"	"7"	"foreign"	"SF"	"90"	"b"	"1"	9.19	12	2.99	128	0	57.6	31.9	0.3	1243	4442	26
"8"	"7"	"foreign"	"SF"	"90"	"b"	"2"	9.19	12	2.99	79	0	66.2	31	0	1575	5425	16
"2"	"7"	"foreign"	"SF"	"30"	"b"	"2"	9.19	12	2.99	153	1	61.9	32.2	0.3	NA	NA	21
"2"	"7"	"foreign"	"SF"	"30"	"b"	"1"	9.19	12	2.99	109	0	66.5	38.4	0.4	NA	NA	20
"2"	"7"	"foreign"	"SF"	"90"	"b"	"1"	9.19	12	2.99	132	0	52.6	29.7	0	1197	4453	12
"2"	"7"	"foreign"	"SF"	"90"	"b"	"2"	9.19	12	2.99	107	0	58.2	32.6	0	1501	4868	18
"3"	"7"	"foreign"	"SF"	"30"	"b"	"2"	9.19	12	2.99	123	0	57.2	29.6	0	NA	NA	30
"3"	"7"	"foreign"	"SF"	"30"	"b"	"1"	9.19	12	2.99	126	0	61.3	35	0.8	NA	NA	25
"3"	"7"	"foreign"	"SF"	"90"	"b"	"1"	9.19	12	2.99	105	0	53.6	34.7	0.4	1605	5328	24
"3"	"7"	"foreign"	"SF"	"90"	"b"	"2"	9.19	12	2.99	177	0	57.5	34.8	0.5	1581	6096	24
"4"	"7"	"foreign"	"SF"	"30"	"b"	"2"	9.19	12	2.99	158	4	74	41.6	0.9	NA	NA	78
"4"	"7"	"foreign"	"SF"	"30"	"b"	"1"	9.19	12	2.99	177	1	93.4	47.7	1.3	NA	NA	102
"4"	"7"	"foreign"	"SF"	"90"	"b"	"1"	9.19	12	2.99	185	3	75.6	34.7	0.8	1033	3776	74
"4"	"7"	"foreign"	"SF"	"90"	"b"	"2"	9.19	12	2.99	120	0	77.2	33.8	0	1028	3887	37
"9"	"7"	"foreign"	"SF"	"30"	"b"	"2"	9.19	12	2.99	150	5	95.7	43.5	1.4	NA	NA	53
"9"	"7"	"foreign"	"SF"	"30"	"b"	"1"	9.19	12	2.99	113	5	101.9	38.5	1.7	NA	NA	38
"9"	"7"	"foreign"	"SF"	"90"	"b"	"2"	9.19	12	2.99	133	1	65.7	31.8	1	1141	4342	35
"9"	"7"	"foreign"	"SF"	"90"	"b"	"1"	9.19	12	2.99	107	1	83.3	35	0.7	1176	4160	26
"5"	"6"	"foreign"	"SF"	"30"	"b"	"1"	4.48	14.18	3.5	123	11	120.2	47.7	1.6	NA	NA	72
"5"	"6"	"foreign"	"SF"	"30"	"b"	"2"	4.48	14.18	3.5	86	10	120.4	40.6	1.6	NA	NA	48
"5"	"6"	"foreign"	"SF"	"90"	"b"	"1"	4.48	14.18	3.5	152	3	84.6	40.9	0.9	900	5136	52
"5"	"6"	"foreign"	"SF"	"90"	"b"	"2"	4.48	14.18	3.5	63	1	98.7	50.3	1.3	909	4643	26
"6"	"6"	"own"	"SF"	"30"	"b"	"2"	4.48	14.18	3.5	107	9	104.2	33.3	1	NA	NA	43
"6"	"6"	"own"	"SF"	"30"	"b"	"1"	4.48	14.18	3.5	108	5	110.1	37.2	1.5	NA	NA	44
"6"	"6"	"own"	"SF"	"90"	"b"	"1"	4.48	14.18	3.5	122	1	89.2	34.2	0.9	813	4161	49
"6"	"6"	"own"	"SF"	"90"	"b"	"2"	4.48	14.18	3.5	105	1	99.4	38.6	1.4	821	3982	42
"7"	"6"	"foreign"	"SF"	"30"	"b"	"1"	4.48	14.18	3.5	130	1	80.4	39.1	0.3	NA	NA	29
"7"	"6"	"foreign"	"SF"	"30"	"b"	"2"	4.48	14.18	3.5	91	3	95.2	33.5	1.1	NA	NA	22
"7"	"6"	"foreign"	"SF"	"90"	"b"	"2"	4.48	14.18	3.5	130	0	52.4	24.3	0	1048	4267	29
"7"	"6"	"foreign"	"SF"	"90"	"b"	"1"	4.48	14.18	3.5	96	0	59.2	32.2	0	1029	4351	12
"1"	"6"	"foreign"	"SF"	"30"	"b"	"2"	4.48	14.18	3.5	98	5	94	54	1.3	NA	NA	52
"1"	"6"	"foreign"	"SF"	"30"	"b"	"1"	4.48	14.18	3.5	132	3	97.5	53.4	1.2	NA	NA	86
"1"	"6"	"foreign"	"SF"	"90"	"b"	"1"	4.48	14.18	3.5	114	0	60.2	38.9	1	916	4332	31
"1"	"6"	"foreign"	"SF"	"90"	"b"	"2"	4.48	14.18	3.5	134	0	62.7	40.7	0.7	871	4228	43
"8"	"6"	"foreign"	"SF"	"30"	"b"	"2"	4.48	14.18	3.5	89	3	86.5	42	1.3	NA	NA	25
"8"	"6"	"foreign"	"SF"	"30"	"b"	"1"	4.48	14.18	3.5	79	0	106.4	35.8	1.1	NA	NA	20
"8"	"6"	"foreign"	"SF"	"90"	"b"	"2"	4.48	14.18	3.5	127	1	53.2	27.4	0.4	1381	5887	26
"8"	"6"	"foreign"	"SF"	"90"	"b"	"1"	4.48	14.18	3.5	81	0	64.7	26.9	0	1142	5269	13
"2"	"6"	"foreign"	"SF"	"30"	"b"	"2"	4.48	14.18	3.5	107	2	73.1	31.4	0	NA	NA	25
"2"	"6"	"foreign"	"SF"	"30"	"b"	"1"	4.48	14.18	3.5	99	0	81.4	36.4	0.6	NA	NA	15
"2"	"6"	"foreign"	"SF"	"90"	"b"	"2"	4.48	14.18	3.5	98	0	55.6	29.3	0	1786	5737	20
"2"	"6"	"foreign"	"SF"	"90"	"b"	"1"	4.48	14.18	3.5	132	0	56	26.2	0	1455	5012	23
"3"	"6"	"foreign"	"SF"	"30"	"b"	"1"	4.48	14.18	3.5	104	0	61.7	33.6	0.5	NA	NA	18
"3"	"6"	"foreign"	"SF"	"30"	"b"	"2"	4.48	14.18	3.5	143	0	67.2	31.8	0.3	NA	NA	27
"3"	"6"	"foreign"	"SF"	"90"	"b"	"1"	4.48	14.18	3.5	104	0	54.8	30.1	0	1218	5867	8
"3"	"6"	"foreign"	"SF"	"90"	"b"	"2"	4.48	14.18	3.5	105	0	56	25.2	0	1304	6042	11
"4"	"6"	"foreign"	"SF"	"30"	"b"	"2"	4.48	14.18	3.5	99	16	97.6	49.1	1.3	NA	NA	34
"4"	"6"	"foreign"	"SF"	"30"	"b"	"1"	4.48	14.18	3.5	147	3	122.1	44.1	1.5	NA	NA	82
"4"	"6"	"foreign"	"SF"	"90"	"b"	"2"	4.48	14.18	3.5	120	5	72.4	38.6	1.1	959	4261	50
"4"	"6"	"foreign"	"SF"	"90"	"b"	"1"	4.48	14.18	3.5	111	0	99	39.8	1.3	954	4272	44
"9"	"6"	"foreign"	"SF"	"30"	"b"	"2"	4.48	14.18	3.5	117	11	115	42.1	2	NA	NA	46
"9"	"6"	"foreign"	"SF"	"30"	"b"	"1"	4.48	14.18	3.5	92	6	148.9	42	2.1	NA	NA	29
"9"	"6"	"foreign"	"SF"	"90"	"b"	"2"	4.48	14.18	3.5	116	0	68.6	33.7	0.4	1249	5181	27
"9"	"6"	"foreign"	"SF"	"90"	"b"	"1"	4.48	14.18	3.5	96	0	76.3	38.9	0.6	1412	5242	18
"5"	"5"	"own"	"SF"	"30"	"b"	"2"	3.34	12.18	1.87	116	1	89.6	43.9	1	NA	NA	45
"5"	"5"	"own"	"SF"	"30"	"b"	"1"	3.34	12.18	1.87	88	0	90.3	42.7	1.3	NA	NA	30
"5"	"5"	"own"	"SF"	"90"	"b"	"1"	3.34	12.18	1.87	95	0	82.5	42	0.6	770	4181	30
"5"	"5"	"own"	"SF"	"90"	"b"	"2"	3.34	12.18	1.87	105	2	86.6	31.7	0.4	836	4247	38
"6"	"5"	"foreign"	"SF"	"30"	"b"	"2"	3.34	12.18	1.87	113	0	72.7	39	0.7	NA	NA	50
"6"	"5"	"foreign"	"SF"	"30"	"b"	"1"	3.34	12.18	1.87	111	0	75.9	34.1	0.6	NA	NA	45
"6"	"5"	"foreign"	"SF"	"90"	"b"	"2"	3.34	12.18	1.87	95	0	65.1	31.6	0.5	831	3997	41
"6"	"5"	"foreign"	"SF"	"90"	"b"	"1"	3.34	12.18	1.87	129	0	71.4	29.5	0	889	4220	43
"7"	"5"	"foreign"	"SF"	"30"	"b"	"2"	3.34	12.18	1.87	121	0	63.3	33.1	0.3	NA	NA	32
"7"	"5"	"foreign"	"SF"	"30"	"b"	"1"	3.34	12.18	1.87	115	0	82.4	37.4	0.5	NA	NA	34
"7"	"5"	"foreign"	"SF"	"90"	"b"	"1"	3.34	12.18	1.87	130	0	51.4	35.2	0	1287	5528	16
"7"	"5"	"foreign"	"SF"	"90"	"b"	"2"	3.34	12.18	1.87	74	0	51.5	31.4	0	1229	4871	19
"1"	"5"	"foreign"	"SF"	"30"	"b"	"2"	3.34	12.18	1.87	129	0	61.3	40	0.7	NA	NA	33
"1"	"5"	"foreign"	"SF"	"30"	"b"	"1"	3.34	12.18	1.87	111	0	67.7	42.3	0.4	NA	NA	24
"1"	"5"	"foreign"	"SF"	"90"	"b"	"2"	3.34	12.18	1.87	93	0	44.3	19.2	0	995	4314	8
"1"	"5"	"foreign"	"SF"	"90"	"b"	"1"	3.34	12.18	1.87	121	0	50	28.8	0	1109	5268	10
"8"	"5"	"foreign"	"SF"	"30"	"b"	"2"	3.34	12.18	1.87	93	1	69.8	38.5	0	NA	NA	26
"8"	"5"	"foreign"	"SF"	"30"	"b"	"1"	3.34	12.18	1.87	105	0	80.9	36.8	0	NA	NA	25
"8"	"5"	"foreign"	"SF"	"90"	"b"	"1"	3.34	12.18	1.87	121	0	63.3	29.5	0	1383	5924	28
"8"	"5"	"foreign"	"SF"	"90"	"b"	"2"	3.34	12.18	1.87	110	0	66.4	34.3	0	1365	4871	22
"2"	"5"	"foreign"	"SF"	"30"	"b"	"1"	3.34	12.18	1.87	103	0	47.6	35.8	0.7	NA	NA	18
"2"	"5"	"foreign"	"SF"	"30"	"b"	"2"	3.34	12.18	1.87	158	0	64	32.1	0	NA	NA	31
"2"	"5"	"foreign"	"SF"	"90"	"b"	"2"	3.34	12.18	1.87	94	0	55.1	28.2	0	1226	4245	18
"2"	"5"	"foreign"	"SF"	"90"	"b"	"1"	3.34	12.18	1.87	122	0	71.8	31.6	0.4	976	3491	18
"9"	"5"	"foreign"	"SF"	"30"	"b"	"2"	3.34	12.18	1.87	123	0	74.5	41.3	1.4	NA	NA	36
"9"	"5"	"foreign"	"SF"	"30"	"b"	"1"	3.34	12.18	1.87	99	1	99.4	44.9	1.5	NA	NA	35
"9"	"5"	"foreign"	"SF"	"90"	"b"	"1"	3.34	12.18	1.87	80	0	69.6	34	0.7	1184	5039	16
"9"	"5"	"foreign"	"SF"	"90"	"b"	"2"	3.34	12.18	1.87	122	0	80.2	32	0.3	1448	5380	16
"4"	"5"	"foreign"	"SF"	"30"	"b"	"1"	3.34	12.18	1.87	132	1	68.5	41.5	1.1	NA	NA	76
"4"	"5"	"foreign"	"SF"	"30"	"b"	"2"	3.34	12.18	1.87	152	0	75.9	43.1	1.1	NA	NA	83
"4"	"5"	"foreign"	"SF"	"90"	"b"	"1"	3.34	12.18	1.87	129	0	60	31.3	0	1289	5367	47
"4"	"5"	"foreign"	"SF"	"90"	"b"	"2"	3.34	12.18	1.87	148	0	68.5	34.2	0.5	1275	5183	56
"3"	"5"	"foreign"	"SF"	"30"	"b"	"1"	3.34	12.18	1.87	111	0	51.5	40.1	0.4	NA	NA	23
"3"	"5"	"foreign"	"SF"	"30"	"b"	"2"	3.34	12.18	1.87	151	0	58.5	35.3	0.5	NA	NA	33
"3"	"5"	"foreign"	"SF"	"90"	"b"	"1"	3.34	12.18	1.87	91	0	59.2	31.6	0	1242	5718	19
"3"	"5"	"foreign"	"SF"	"90"	"b"	"2"	3.34	12.18	1.87	90	0	59.5	35.6	0	1464	6420	13
"5"	"4"	"foreign"	"SF"	"30"	"b"	"2"	2.87	18.26	2.06	143	11	97.7	41	1.5	NA	NA	71
"5"	"4"	"foreign"	"SF"	"30"	"b"	"1"	2.87	18.26	2.06	122	5	120.7	40.7	1.4	NA	NA	67
"5"	"4"	"foreign"	"SF"	"90"	"b"	"2"	2.87	18.26	2.06	62	1	91	49.1	0.7	785	4032	14
"5"	"4"	"foreign"	"SF"	"90"	"b"	"1"	2.87	18.26	2.06	136	1	95.5	42.7	1.3	846	4682	64
"6"	"4"	"foreign"	"SF"	"30"	"b"	"2"	2.87	18.26	2.06	100	9	96.9	30.5	0.8	NA	NA	40
"6"	"4"	"foreign"	"SF"	"30"	"b"	"1"	2.87	18.26	2.06	109	3	106.5	29.6	1.4	NA	NA	50
"6"	"4"	"foreign"	"SF"	"90"	"b"	"1"	2.87	18.26	2.06	111	0	80.4	36.7	0.3	1021	6000	43
"6"	"4"	"foreign"	"SF"	"90"	"b"	"2"	2.87	18.26	2.06	88	0	81.9	35.1	0.7	850	4884	38
"7"	"4"	"foreign"	"SF"	"30"	"b"	"2"	2.87	18.26	2.06	87	1	72	37.7	0.3	NA	NA	25
"7"	"4"	"foreign"	"SF"	"30"	"b"	"1"	2.87	18.26	2.06	97	0	83.3	34	0.7	NA	NA	27
"7"	"4"	"foreign"	"SF"	"90"	"b"	"2"	2.87	18.26	2.06	84	0	58.8	35.2	0	1054	4928	9
"7"	"4"	"foreign"	"SF"	"90"	"b"	"1"	2.87	18.26	2.06	137	0	71.9	29.3	0.3	1038	5117	31
"1"	"4"	"foreign"	"SF"	"30"	"b"	"1"	2.87	18.26	2.06	107	0	74	40.9	1.2	NA	NA	59
"1"	"4"	"foreign"	"SF"	"30"	"b"	"2"	2.87	18.26	2.06	111	1	79.2	38.7	1.1	NA	NA	46
"1"	"4"	"foreign"	"SF"	"90"	"b"	"2"	2.87	18.26	2.06	85	0	48.4	24.9	0	1075	5854	13
"1"	"4"	"foreign"	"SF"	"90"	"b"	"1"	2.87	18.26	2.06	129	0	60.1	33.5	0.4	1155	6797	27
"8"	"4"	"foreign"	"SF"	"30"	"b"	"2"	2.87	18.26	2.06	110	6	90.7	34.7	0.7	NA	NA	21
"8"	"4"	"foreign"	"SF"	"30"	"b"	"1"	2.87	18.26	2.06	121	0	95.7	33.8	0.7	NA	NA	46
"8"	"4"	"foreign"	"SF"	"90"	"b"	"1"	2.87	18.26	2.06	103	0	75.8	35.3	0	1460	6965	28
"8"	"4"	"foreign"	"SF"	"90"	"b"	"2"	2.87	18.26	2.06	141	0	80.9	29.6	1	1463	6998	30
"2"	"4"	"foreign"	"SF"	"30"	"b"	"2"	2.87	18.26	2.06	86	1	86.4	33	0.7	NA	NA	14
"2"	"4"	"foreign"	"SF"	"30"	"b"	"1"	2.87	18.26	2.06	116	1	91.1	38.4	0.8	NA	NA	24
"2"	"4"	"foreign"	"SF"	"90"	"b"	"2"	2.87	18.26	2.06	66	0	66.6	38.5	0.9	1356	5835	11
"2"	"4"	"foreign"	"SF"	"90"	"b"	"1"	2.87	18.26	2.06	103	0	78.3	39.8	0	1314	5920	14
"9"	"4"	"foreign"	"SF"	"30"	"b"	"2"	2.87	18.26	2.06	112	6	110.6	46.4	1.6	NA	NA	33
"9"	"4"	"foreign"	"SF"	"30"	"b"	"1"	2.87	18.26	2.06	95	2	111.1	42.1	1.9	NA	NA	37
"9"	"4"	"foreign"	"SF"	"90"	"b"	"1"	2.87	18.26	2.06	85	0	69.5	26.7	0.7	1345	6083	24
"9"	"4"	"foreign"	"SF"	"90"	"b"	"2"	2.87	18.26	2.06	120	1	74.8	28.5	0.8	1240	5843	23
"4"	"4"	"own"	"SF"	"30"	"b"	"2"	2.87	18.26	2.06	90	1	71.9	41.5	1.1	NA	NA	45
"4"	"4"	"own"	"SF"	"30"	"b"	"1"	2.87	18.26	2.06	122	0	87.8	43.6	1.1	NA	NA	57
"4"	"4"	"own"	"SF"	"90"	"b"	"2"	2.87	18.26	2.06	152	0	74	39	1	1201	5843	95
"4"	"4"	"own"	"SF"	"90"	"b"	"1"	2.87	18.26	2.06	80	1	85.7	35.2	0.4	1084	5475	35
"3"	"4"	"foreign"	"SF"	"30"	"b"	"1"	2.87	18.26	2.06	116	0	48.2	30.7	0	NA	NA	26
"3"	"4"	"foreign"	"SF"	"30"	"b"	"2"	2.87	18.26	2.06	119	0	58.7	41.7	0.9	NA	NA	31
"3"	"4"	"foreign"	"SF"	"90"	"b"	"2"	2.87	18.26	2.06	110	0	54.8	33.6	0	1559	7696	27
"3"	"4"	"foreign"	"SF"	"90"	"b"	"1"	2.87	18.26	2.06	131	0	55	29	0	1868	8038	29
"5"	"3"	"foreign"	"SF"	"30"	"b"	"2"	2.97	16.84	1.73	101	4	78.4	48.8	1.2	NA	NA	56
"5"	"3"	"foreign"	"SF"	"30"	"b"	"1"	2.97	16.84	1.73	113	3	97.2	49.8	1.3	NA	NA	63
"5"	"3"	"foreign"	"SF"	"90"	"b"	"1"	2.97	16.84	1.73	100	0	71.8	41.1	0.7	949	4510	35
"5"	"3"	"foreign"	"SF"	"90"	"b"	"2"	2.97	16.84	1.73	149	1	78.8	43.9	0.8	939	5223	58
"6"	"3"	"foreign"	"SF"	"30"	"b"	"1"	2.97	16.84	1.73	134	0	82.6	34.7	0.8	NA	NA	54
"6"	"3"	"foreign"	"SF"	"30"	"b"	"2"	2.97	16.84	1.73	80	1	85.1	39.9	0.6	NA	NA	29
"6"	"3"	"foreign"	"SF"	"90"	"b"	"2"	2.97	16.84	1.73	113	1	70	36.4	1.1	821	4622	58
"6"	"3"	"foreign"	"SF"	"90"	"b"	"1"	2.97	16.84	1.73	94	0	82.8	34	0	752	4799	38
"7"	"3"	"foreign"	"SF"	"30"	"b"	"1"	2.97	16.84	1.73	132	0	82.2	37.1	0	NA	NA	54
"7"	"3"	"foreign"	"SF"	"30"	"b"	"2"	2.97	16.84	1.73	108	1	85.2	40.2	1	NA	NA	37
"7"	"3"	"foreign"	"SF"	"90"	"b"	"1"	2.97	16.84	1.73	122	0	61.2	32.9	0.4	1030	4921	35
"7"	"3"	"foreign"	"SF"	"90"	"b"	"2"	2.97	16.84	1.73	113	0	61.5	38.1	0.3	1213	4949	34
"1"	"3"	"foreign"	"SF"	"30"	"b"	"1"	2.97	16.84	1.73	146	0	72.3	53.9	1	NA	NA	76
"1"	"3"	"foreign"	"SF"	"30"	"b"	"2"	2.97	16.84	1.73	103	0	80.3	52.4	1.2	NA	NA	56
"1"	"3"	"foreign"	"SF"	"90"	"b"	"2"	2.97	16.84	1.73	92	0	60.2	34.2	1.4	802	5868	38
"1"	"3"	"foreign"	"SF"	"90"	"b"	"1"	2.97	16.84	1.73	122	2	61	41.9	1.1	833	5995	70
"8"	"3"	"foreign"	"SF"	"30"	"b"	"1"	2.97	16.84	1.73	134	2	74.8	42.1	0.8	NA	NA	38
"8"	"3"	"foreign"	"SF"	"30"	"b"	"2"	2.97	16.84	1.73	99	5	101.3	39	1.8	NA	NA	34
"8"	"3"	"foreign"	"SF"	"90"	"b"	"1"	2.97	16.84	1.73	84	0	64.4	30.6	0	1186	6545	20
"8"	"3"	"foreign"	"SF"	"90"	"b"	"2"	2.97	16.84	1.73	127	0	68	31.4	0	1244	6769	25
"2"	"3"	"foreign"	"SF"	"30"	"b"	"1"	2.97	16.84	1.73	89	0	68.9	37.5	0.9	NA	NA	25
"2"	"3"	"foreign"	"SF"	"30"	"b"	"2"	2.97	16.84	1.73	123	0	78.8	37.9	0.2	NA	NA	22
"2"	"3"	"foreign"	"SF"	"90"	"b"	"1"	2.97	16.84	1.73	119	0	67.2	33.6	0	997	4349	18
"2"	"3"	"foreign"	"SF"	"90"	"b"	"2"	2.97	16.84	1.73	130	0	69.4	31.7	0	1217	4455	30
"9"	"3"	"foreign"	"SF"	"30"	"b"	"1"	2.97	16.84	1.73	85	0	96.7	52	1.3	NA	NA	30
"9"	"3"	"foreign"	"SF"	"30"	"b"	"2"	2.97	16.84	1.73	136	5	98.6	44.8	1.4	NA	NA	53
"9"	"3"	"foreign"	"SF"	"90"	"b"	"2"	2.97	16.84	1.73	132	0	66.5	35.1	0.8	1380	5220	32
"9"	"3"	"foreign"	"SF"	"90"	"b"	"1"	2.97	16.84	1.73	114	1	72.1	33	0.7	1099	5278	26
"3"	"3"	"own"	"SF"	"30"	"b"	"1"	2.97	16.84	1.73	132	0	55.6	40	0.9	NA	NA	30
"3"	"3"	"own"	"SF"	"30"	"b"	"2"	2.97	16.84	1.73	110	0	55.9	40.4	0.4	NA	NA	21
"3"	"3"	"own"	"SF"	"90"	"b"	"2"	2.97	16.84	1.73	116	0	52.8	32.7	0	1517	7290	21
"3"	"3"	"own"	"SF"	"90"	"b"	"1"	2.97	16.84	1.73	111	0	52.9	33.3	0	1481	6913	26
"4"	"3"	"foreign"	"SF"	"30"	"b"	"1"	2.97	16.84	1.73	135	1	80	50	1.1	NA	NA	70
"4"	"3"	"foreign"	"SF"	"30"	"b"	"2"	2.97	16.84	1.73	127	2	81.2	47.1	1	NA	NA	86
"4"	"3"	"foreign"	"SF"	"90"	"b"	"2"	2.97	16.84	1.73	102	0	71.9	35.1	0.4	1077	5073	47
"4"	"3"	"foreign"	"SF"	"90"	"b"	"1"	2.97	16.84	1.73	160	0	73.5	37.2	0.7	1159	5456	72
"5"	"2"	"foreign"	"SF"	"30"	"b"	"2"	3.76	9.24	1.52	140	1	87.7	43.5	0.8	NA	NA	74
"5"	"2"	"foreign"	"SF"	"30"	"b"	"1"	3.76	9.24	1.52	115	1	89.7	44.4	1.2	NA	NA	42
"5"	"2"	"foreign"	"SF"	"90"	"b"	"2"	3.76	9.24	1.52	114	1	73.4	40.8	0.8	627	2739	44
"5"	"2"	"foreign"	"SF"	"90"	"b"	"1"	3.76	9.24	1.52	131	0	74	40.5	0.7	642	2659	62
"6"	"2"	"foreign"	"SF"	"30"	"b"	"2"	3.76	9.24	1.52	97	0	73.7	40	1.4	NA	NA	45
"6"	"2"	"foreign"	"SF"	"30"	"b"	"1"	3.76	9.24	1.52	131	0	80.5	44.7	1.1	NA	NA	52
"6"	"2"	"foreign"	"SF"	"90"	"b"	"1"	3.76	9.24	1.52	104	0	66.3	31.4	0	868	3800	45
"6"	"2"	"foreign"	"SF"	"90"	"b"	"2"	3.76	9.24	1.52	140	0	69.5	35.5	0.6	713	3337	53
"7"	"2"	"foreign"	"SF"	"30"	"b"	"1"	3.76	9.24	1.52	127	0	60.1	34	0	NA	NA	39
"7"	"2"	"foreign"	"SF"	"30"	"b"	"2"	3.76	9.24	1.52	136	1	63.7	32.6	0.2	NA	NA	49
"7"	"2"	"foreign"	"SF"	"90"	"b"	"2"	3.76	9.24	1.52	128	0	53.3	39.2	0	1073	3552	15
"7"	"2"	"foreign"	"SF"	"90"	"b"	"1"	3.76	9.24	1.52	165	0	54.3	32.5	0	1140	3718	38
"1"	"2"	"foreign"	"SF"	"30"	"b"	"2"	3.76	9.24	1.52	148	0	72.3	56.6	1	NA	NA	58
"1"	"2"	"foreign"	"SF"	"30"	"b"	"1"	3.76	9.24	1.52	156	0	73.6	43.3	1.2	NA	NA	79
"1"	"2"	"foreign"	"SF"	"90"	"b"	"1"	3.76	9.24	1.52	143	0	53.2	29	0.7	676	3481	51
"1"	"2"	"foreign"	"SF"	"90"	"b"	"2"	3.76	9.24	1.52	119	0	53.6	37.2	0.3	675	3280	34
"8"	"2"	"foreign"	"SF"	"30"	"b"	"2"	3.76	9.24	1.52	97	4	62	40.2	0.5	NA	NA	37
"8"	"2"	"foreign"	"SF"	"30"	"b"	"1"	3.76	9.24	1.52	164	0	77	38.8	0.6	NA	NA	30
