"m_sp"	"m_sf"	"sf_treatment"	"treatment"	"time"	"subsample"	"replicate"	"APN"	"DPP4"	"NEP"	"tot_sperm"	"HA"	"VCL"	"LIN"	"ALH"	"n_dead_sperm"	"tot_sperm_viab"	"number_motile_cells_int"
"9"	"2"	"foreign"	"SF"	"30"	"a"	"2"	3.76	9.24	1.52	126	1	101.7	55.1	1.4	NA	NA	58
"9"	"2"	"foreign"	"SF"	"90"	"a"	"2"	3.76	9.24	1.52	156	0	69.5	40.9	1.1	1199	3990	48
"9"	"2"	"foreign"	"SF"	"90"	"a"	"1"	3.76	9.24	1.52	105	0	73.6	41.9	1.2	1065	3743	40
"3"	"2"	"foreign"	"SF"	"30"	"a"	"1"	3.76	9.24	1.52	125	0	50.1	42.5	0.8	NA	NA	34
"3"	"2"	"foreign"	"SF"	"30"	"a"	"2"	3.76	9.24	1.52	149	0	55	46	0.6	NA	NA	41
"3"	"2"	"foreign"	"SF"	"90"	"a"	"2"	3.76	9.24	1.52	164	0	51.7	38.2	0.3	1313	4898	42
"3"	"2"	"foreign"	"SF"	"90"	"a"	"1"	3.76	9.24	1.52	103	0	59.3	39.2	0	1097	4560	17
"4"	"2"	"foreign"	"SF"	"30"	"a"	"2"	3.76	9.24	1.52	133	0	68	47.9	1	NA	NA	59
"4"	"2"	"foreign"	"SF"	"30"	"a"	"1"	3.76	9.24	1.52	143	0	75.9	52.2	1	NA	NA	77
"4"	"2"	"foreign"	"SF"	"90"	"a"	"2"	3.76	9.24	1.52	201	0	64.3	39	0.9	1049	3843	79
"4"	"2"	"foreign"	"SF"	"90"	"a"	"1"	3.76	9.24	1.52	131	0	68.5	38.7	0.9	1243	4393	52
"6"	"2"	"foreign"	"SF"	"30"	"a"	"1"	3.76	9.24	1.52	148	3	83.5	38	1.3	NA	NA	64
"6"	"2"	"foreign"	"SF"	"30"	"a"	"2"	3.76	9.24	1.52	109	3	101.3	39.1	1.2	NA	NA	37
"6"	"2"	"foreign"	"SF"	"90"	"a"	"1"	3.76	9.24	1.52	121	1	62.5	33.5	0	786	4606	45
"6"	"2"	"foreign"	"SF"	"90"	"a"	"2"	3.76	9.24	1.52	100	1	77.9	37.4	1.2	781	4316	35
"5"	"3"	"foreign"	"SF"	"30"	"a"	"1"	2.97	16.84	1.73	140	10	103.7	44.7	1.2	NA	NA	77
"5"	"3"	"foreign"	"SF"	"30"	"a"	"2"	2.97	16.84	1.73	91	4	105.7	50.8	1.3	NA	NA	57
"5"	"3"	"foreign"	"SF"	"90"	"a"	"2"	2.97	16.84	1.73	160	4	87	46.4	1.2	653	4950	65
"5"	"3"	"foreign"	"SF"	"90"	"a"	"1"	2.97	16.84	1.73	114	1	87.3	43.2	1.3	689	5054	43
"7"	"3"	"foreign"	"SF"	"30"	"a"	"2"	2.97	16.84	1.73	115	0	66.6	37.3	0	NA	NA	32
"7"	"3"	"foreign"	"SF"	"30"	"a"	"1"	2.97	16.84	1.73	147	0	70.4	40.4	0.8	NA	NA	69
"7"	"3"	"foreign"	"SF"	"90"	"a"	"1"	2.97	16.84	1.73	131	0	58.7	38.8	0	1043	4563	41
"7"	"3"	"foreign"	"SF"	"90"	"a"	"2"	2.97	16.84	1.73	93	0	61.3	38.1	0.7	834	4119	28
"1"	"3"	"foreign"	"SF"	"30"	"a"	"2"	2.97	16.84	1.73	107	2	83.2	57.1	1.1	NA	NA	55
"1"	"3"	"foreign"	"SF"	"30"	"a"	"1"	2.97	16.84	1.73	141	0	84.3	58.7	1.1	NA	NA	76
"1"	"3"	"foreign"	"SF"	"90"	"a"	"2"	2.97	16.84	1.73	117	0	60.4	50.2	1	677	4644	42
"1"	"3"	"foreign"	"SF"	"90"	"a"	"1"	2.97	16.84	1.73	145	0	65.2	42.9	1	727	4795	54
"8"	"3"	"foreign"	"SF"	"30"	"a"	"1"	2.97	16.84	1.73	145	1	74.8	39.7	0.7	NA	NA	45
"8"	"3"	"foreign"	"SF"	"30"	"a"	"2"	2.97	16.84	1.73	92	0	81.6	41.6	0.4	NA	NA	28
"8"	"3"	"foreign"	"SF"	"90"	"a"	"2"	2.97	16.84	1.73	97	0	50.8	25.3	0	1336	5673	15
"8"	"3"	"foreign"	"SF"	"90"	"a"	"1"	2.97	16.84	1.73	98	0	56.3	32.4	0.7	1324	5634	8
